time,exp5b_pdps_imu-Clip__exp5b_audio-L,exp5b_pdps_imu-Clip__exp5b_mpipe-L,exp5b_pdps_imu-Clip__exp5b_audio-R,exp5b_pdps_imu-Clip__exp5b_mpipe-R,exp5b_audio-L__exp5b_mpipe-L,exp5b_audio-L__exp5b_audio-R,exp5b_audio-L__exp5b_mpipe-R,exp5b_mpipe-L__exp5b_audio-R,exp5b_mpipe-L__exp5b_mpipe-R,exp5b_audio-R__exp5b_mpipe-R
78.5,,,,,,,,,0.38605731262169257,
79.0,,,,,,,,,0.15012323650966286,
79.5,,,,,,,,,0.172889489569355,
80.0,,,,,,,,,0.4846838785106313,
80.5,,,,,,,,,0.32119304678454047,
81.0,,,,,,,,,0.39254312102918065,
81.5,,,,,,,,,0.44077379616030016,
82.0,,,,,,,,,0.17560089684304642,
82.5,,,,,,,,,0.35356859902724086,
83.0,,,,,,,,,0.216924070186445,
83.5,,,,,,,,,0.19805016275752954,
84.0,,,,,,,,,0.16598412371652138,
84.5,,,,,,,,,0.31847564831681835,
85.0,,,,,,,,,0.9843379109875525,
85.5,,,,,,,,,0.9841448049505852,
86.0,,,,,,,,,0.9839512502373366,
86.5,,,,,,,,,0.983757279020355,
87.0,,,,,,,,,0.9835629239570218,
87.5,,,,,,,,,0.9833682181851175,
88.0,,,,,,,,,0.9831731953181901,
88.5,,,,,0.5349417628418724,,0.5358044194868826,,0.982977889440716,
89.0,0.501949180825403,0.5001194771562726,,0.5001132184204182,0.5121286757390004,,0.5124945162654375,,0.9827823351030665,
89.5,0.4998053521018237,0.4998674175695052,,0.49986268350159024,0.5036400489884728,,0.503765803308852,,0.9825865673162737,
90.0,0.4945500176775075,0.4966486921743463,,0.4966877288061556,0.5031924953993276,,0.5033036417040657,,0.9823906215465961,
90.5,0.4593125869922162,0.4630448894992787,,0.4631870333035738,0.500990598947448,,0.5010220215725687,,0.982194533709886,
91.0,0.16469500448552118,0.16756714243930154,,0.16784219669115147,0.5003355535956125,,0.5003451309496803,,0.9819983401657648,
91.5,0.016188198798298713,0.015640068904822446,,0.015737819912414547,0.500091886390777,,0.5000987844269467,,0.9818020777116021,
92.0,0.0012570671867826082,0.0007560928635134044,,0.0007725971678746691,0.49987353251158634,,0.4998855442454704,,0.9816057835763009,
92.5,7.248041468338143e-05,0.00029420930272981596,,0.00027866114070708366,0.4994520569807128,,0.499473614814343,,0.9814094954138893,
93.0,,,,,0.498509470383305,,0.4985454793099794,,0.9812132512969274,
93.5,,,,,0.4961393933652639,0.4962234472469505,0.4961988879455692,0.5143844672629231,0.981017089709721,0.5147711429883577
94.0,,,,,0.48814239322416814,0.48427701515764093,0.4882489399906369,0.5019821318837466,0.9808210495413492,0.5020404402733982
94.5,,,,,0.43262859666868597,0.423106692788604,0.43287474360593803,0.4999046567534184,0.9806251700785126,0.4998952275502951
